,type,elevation_ft,continent,Longitude
191,heliport,302.0,NA,-76.32669830322266
192,small_airport,556.0,NA,-70.6272964477539
193,heliport,585.0,NA,-83.86219787597656
194,small_airport,1435.0,NA,-95.22470092773438
195,heliport,110.0,NA,-90.8832015991211
196,small_airport,3580.0,NA,-111.71748
197,small_airport,874.0,NA,-94.41249847410002
198,small_airport,4.0,OC,169.852005
199,small_airport,35.0,NA,-77.9041976928711
200,small_airport,1045.0,NA,-97.8290023803711
201,small_airport,2430.0,NA,-99.3311996459961
202,heliport,400.0,NA,-71.12439727783203
203,small_airport,6120.0,NA,-115.2979965209961
204,small_airport,95.0,NA,-72.716796875
205,small_airport,580.0,NA,-83.01740264892578
206,heliport,890.0,NA,-81.599552
207,small_airport,890.0,NA,-96.1613998413086
208,small_airport,3340.0,NA,-117.48400115966795
209,heliport,197.0,NA,-75.4656982421875
210,heliport,479.0,NA,-76.180806
211,small_airport,980.0,NA,-94.921703
212,small_airport,704.0,NA,-122.22899627685548
213,heliport,73.0,NA,-78.66190338134766
214,small_airport,600.0,NA,-98.66950225830078
215,heliport,1000.0,NA,-83.57939910888672
216,heliport,1825.0,NA,-100.43800354003906
217,heliport,50.0,NA,-95.30719757080078
218,small_airport,5315.0,NA,-109.98600006103516
219,small_airport,2440.0,NA,-117.37200164794922
220,small_airport,880.0,NA,-88.883945
221,small_airport,2320.0,NA,-120.66999816894533
222,small_airport,2100.0,NA,-100.75399780273438
223,small_airport,250.0,NA,-150.811387
224,heliport,686.0,NA,-85.96720123
225,heliport,430.0,NA,-92.586047
226,small_airport,3020.0,NA,-117.675003
227,small_airport,2310.0,NA,-116.44100189208984
228,heliport,880.0,NA,-73.05239868164062
229,small_airport,9.0,NA,-80.51509857177734
230,heliport,37.0,NA,-82.336981
231,small_airport,30.0,NA,-81.22200012207031
232,small_airport,920.0,NA,-83.18879699707031
233,small_airport,801.0,NA,-92.05460357666016
234,small_airport,2343.0,NA,-116.53700256347656
235,small_airport,765.0,NA,-84.99410247802734
236,small_airport,755.0,NA,-89.0070037842
237,seaplane_base,954.0,NA,-85.113056
238,small_airport,728.0,NA,-88.56900024414062
239,heliport,835.0,NA,-95.2197036743164
240,small_airport,710.0,NA,-85.78939819335938
241,heliport,10.0,NA,-90.702222
242,small_airport,750.0,NA,-88.28759765625
243,heliport,52.0,NA,-91.10530090332033
244,heliport,40.0,NA,-75.82140350341797
245,small_airport,625.0,NA,-69.8938980102539
246,small_airport,880.0,NA,-84.62830352783203
247,small_airport,1195.0,NA,-94.68689727783205
248,small_airport,767.0,NA,-91.45149993896484
249,small_airport,100.0,NA,-90.8373031616
250,small_airport,2715.0,NA,-106.488095
251,heliport,445.0,NA,-78.7822036743
252,small_airport,3035.0,NA,-101.299003601
253,small_airport,155.0,NA,-75.2334976196
254,small_airport,2620.0,NA,-115.665000916
255,small_airport,250.0,NA,-73.6961975098
256,heliport,185.0,NA,-123.085556
257,heliport,984.0,NA,-97.079498291
258,small_airport,1500.0,NA,-120.200996399
259,heliport,50.0,NA,-75.2287979126
260,heliport,320.0,NA,-75.63021
261,heliport,994.0,NA,-82.60690307620001
262,heliport,2437.0,NA,-101.243011
263,heliport,49.0,NA,-95.3873977661
264,small_airport,1430.0,NA,-82.67890167239999
265,heliport,690.0,NA,-97.6061019897
266,small_airport,565.0,NA,-97.3688964844
267,small_airport,6160.0,NA,-110.794998169
268,small_airport,7826.0,NA,-106.1743889
269,heliport,2004.0,NA,-82.078
270,small_airport,50.0,NA,-77.21179962160001
271,small_airport,2156.0,NA,-72.26360321039999
272,small_airport,1021.0,NA,-92.895401001
273,small_airport,2345.0,NA,-117.43699646
274,small_airport,760.0,NA,-88.0167007446
275,small_airport,1510.0,NA,-119.641667
276,heliport,1137.0,NA,-79.9561111111
277,small_airport,1130.0,NA,-98.402861
278,small_airport,620.0,NA,-149.1880035
279,heliport,365.0,NA,-85.64969635010002
280,small_airport,1900.0,NA,-93.57025
281,heliport,200.0,NA,-114.634346
282,seaplane_base,440.0,NA,-67.931999
283,heliport,888.0,NA,-118.713996887
284,small_airport,618.0,NA,-122.39099884
285,small_airport,4978.0,NA,-104.9844228
286,heliport,600.0,NA,-73.1162033081
287,small_airport,295.0,NA,-86.21829986572266
288,heliport,6.0,NA,-80.13919830322266
289,small_airport,36.0,NA,-81.4083023071289
290,small_airport,625.0,NA,-84.71440124511719
291,small_airport,1155.0,NA,-93.06829833984376
292,small_airport,2969.0,NA,-114.835999
293,small_airport,795.0,NA,-84.99720001220703
294,small_airport,635.0,NA,-88.0167007446289
295,small_airport,860.0,NA,-86.50420379638672
296,small_airport,605.0,NA,-89.26399993896484
297,small_airport,945.0,NA,-95.95919799804688
298,small_airport,1070.0,NA,-84.40720367
299,small_airport,76.0,NA,-91.6977996826172
300,heliport,710.0,NA,-87.93509674072266
301,small_airport,83.0,NA,-92.47579956054688
302,heliport,911.0,NA,-97.214237
303,heliport,80.0,NA,-70.91230010986328
304,small_airport,20.0,NA,-76.2052001953125
305,small_airport,70.0,NA,-67.55919647216797
306,heliport,1446.0,NA,-92.2302778
307,heliport,272.0,NA,-89.68009948730469
308,heliport,359.0,NA,-90.16809844970705
309,small_airport,4364.0,NA,-111.152163
310,small_airport,2010.0,NA,-98.3089981079
311,heliport,200.0,NA,-70.95140075683594
312,heliport,7.0,NA,-74.03150177001953
313,small_airport,5180.0,NA,-114.088219
314,heliport,445.0,NA,-76.09020233154297
315,small_airport,830.0,NA,-81.96260070800781
316,small_airport,3500.0,NA,-117.35099792480467
317,heliport,110.0,NA,-75.178201
318,heliport,485.0,NA,-76.85800170898438
319,small_airport,1210.0,NA,-77.86190032958984
320,small_airport,647.0,NA,-123.24199676513672
321,small_airport,276.0,NA,-96.26509857177734
322,small_airport,950.0,NA,-97.79139709472656
323,small_airport,750.0,NA,-97.3585968017578
324,small_airport,608.0,NA,-97.4041976928711
325,small_airport,4838.0,NA,-110.31700134277344
326,small_airport,7720.0,NA,-105.552001953125
327,small_airport,445.0,NA,-78.4186019897461
328,heliport,68.0,NA,-73.08670043945312
329,heliport,2220.0,NA,-117.41400146484376
330,small_airport,958.0,NA,-88.74590301513672
331,small_airport,1570.0,NA,-118.0475
332,small_airport,105.0,NA,-91.54319763183594
333,small_airport,1455.0,NA,-95.4394989013672
334,small_airport,425.0,NA,-149.575331
335,heliport,415.0,NA,-85.97239685058594
336,small_airport,499.0,NA,-92.18489837646484
337,heliport,1280.0,NA,-111.751454
338,seaplane_base,115.0,NA,-68.8050003052
339,heliport,1942.0,NA,-116.83399963378906
340,heliport,520.0,NA,-118.28900146484376
341,small_airport,5100.0,NA,-103.69100189208984
342,small_airport,28.0,NA,-80.32890319824219
343,small_airport,105.0,NA,-81.88500213623047
344,heliport,3.0,NA,-82.8042984008789
345,heliport,1065.0,NA,-84.16210174560547
346,seaplane_base,536.0,NA,-86.69110107421875
347,small_airport,880.0,NA,-91.83429718017578
348,small_airport,2750.0,NA,-116.35900115966795
349,small_airport,708.0,NA,-88.86990356445312
