,Unnamed: 0,type,elevation_ft,continent,Longitude
8846,9666,small_airport,540.0,NA,-76.69129943847656
8847,9667,heliport,862.0,NA,-84.12159729003906
8848,9668,heliport,1100.0,NA,-81.41510009765625
8849,9669,heliport,604.0,NA,-95.4063650966
8850,9670,small_airport,230.0,NA,-123.549004
8851,9671,heliport,1810.0,NA,-78.01080322265625
8852,9672,heliport,480.0,NA,-76.718903
8853,9673,small_airport,1960.0,NA,-100.45899963378906
8854,9674,heliport,632.0,NA,-97.146944
8855,9675,heliport,540.0,NA,-96.9708023071
8856,9676,small_airport,1500.0,NA,-99.31559753417967
8857,9677,small_airport,765.0,NA,-78.84940338134766
8858,9678,small_airport,36.0,NA,-123.77400207519533
8859,9681,small_airport,59.0,NA,-165.39599609375
8860,9683,small_airport,1030.0,NA,-120.54900360107422
8861,9684,heliport,1400.0,NA,-118.21800231933594
8862,9685,heliport,3045.0,NA,-117.296843
8863,9686,small_airport,6000.0,NA,-104.83599853515624
8864,9687,small_airport,22.0,NA,-81.53890228271484
8865,9688,heliport,10.0,NA,-82.68930053710938
8866,9689,small_airport,771.0,NA,-84.94300079345703
8867,9690,small_airport,1169.0,NA,-116.691186
8868,9691,small_airport,485.0,NA,-88.4000015258789
8869,9692,small_airport,550.0,NA,-85.82640075683594
8870,9693,small_airport,645.0,NA,-91.38890075683594
8871,9694,small_airport,1058.0,NA,-96.015042
8872,9695,small_airport,1227.0,NA,-84.36920166015625
8873,9696,heliport,95.0,NA,-92.4695968628
8874,9698,small_airport,981.0,NA,-85.7307415
8875,9699,seaplane_base,948.0,NA,-93.7227020263672
8876,9700,small_airport,780.0,NA,-91.65019989013672
8877,9701,heliport,39.0,NA,-77.385846
8878,9702,small_airport,2335.0,NA,-99.45539855957033
8879,9703,heliport,5.0,NA,-74.0801010131836
8880,9704,small_airport,1280.0,NA,-78.476402
8881,9705,small_airport,840.0,NA,-83.45829772949219
8882,9706,heliport,850.0,NA,-84.30740356445312
8883,9707,small_airport,660.0,NA,-95.63069915771484
8884,9708,small_airport,790.0,NA,-123.53299713134766
8885,9709,heliport,1430.0,NA,-79.58999633789062
8886,9710,heliport,330.0,NA,-75.24960327148438
8887,9711,small_airport,1500.0,NA,-99.4822998046875
8888,9712,heliport,615.0,NA,-96.9832992553711
8889,9713,small_airport,525.0,NA,-87.172806
8890,9714,small_airport,1310.0,NA,-98.4897003173828
8891,9715,small_airport,651.0,NA,-100.0719985961914
8892,9716,small_airport,450.0,NA,-79.35590362548828
8893,9717,small_airport,595.0,NA,-122.01000213623048
8894,9718,small_airport,965.0,NA,-89.12969970703125
8895,9719,heliport,7.0,NA,-93.91210174560548
8896,9720,small_airport,483.0,NA,-147.38800048828125
8897,9721,seaplane_base,208.0,NA,-151.3459930419922
8898,9722,small_airport,822.0,NA,-88.25090026855469
8899,9723,heliport,1133.0,NA,-118.600529
8900,9724,heliport,1162.0,NA,-118.917802
8901,9725,small_airport,5300.0,NA,-104.39600372314452
8902,9726,small_airport,60.0,NA,-80.73619842529297
8903,9727,small_airport,100.0,NA,-82.54540252685547
8904,9728,small_airport,770.0,NA,-82.8145980834961
8905,9729,small_airport,890.0,NA,-84.36810302734375
8906,9730,small_airport,2230.0,NA,-116.875
8907,9731,small_airport,930.0,NA,-89.850848
8908,9733,small_airport,730.0,NA,-87.84500122070312
8909,9734,small_airport,465.0,NA,-87.27140045166016
8910,9735,heliport,18.0,NA,-91.03130340576172
8911,9736,small_airport,681.0,NA,-87.61419677734375
8912,9737,seaplane_base,1370.0,NA,-94.94529724121094
8913,9738,heliport,675.0,NA,-84.874333
8914,9740,heliport,434.0,NA,-90.15709686279295
8915,9741,small_airport,1068.0,NA,-91.6020965576172
8916,9742,heliport,72.0,NA,-74.8824005127
8917,9743,heliport,681.0,NA,-73.738333
8918,9745,heliport,836.0,NA,-84.19129943847656
8919,9746,small_airport,1787.0,NA,-99.45670318603516
8920,9747,small_airport,4060.0,NA,-118.81700134277344
8921,9749,heliport,224.0,NA,-75.95659637451172
8922,9750,heliport,343.0,NA,-94.86830139160156
8923,9751,small_airport,2623.0,NA,-100.8716111
8924,9752,small_airport,1640.0,NA,-85.161678
8925,9753,small_airport,3265.0,NA,-102.0094583
8926,9754,small_airport,2125.0,NA,-100.47599792480467
8927,9755,heliport,835.0,NA,-78.36920166015625
8928,9756,small_airport,1910.0,NA,-120.433611
8929,9757,small_airport,15.0,NA,-122.15599822998048
8930,9758,seaplane_base,750.0,NA,-88.49369812011719
