,type,elevation_ft,continent,Longitude,Latitude
205,small_airport,465.0,NA,-87.7789001465,37.9620018005
206,small_airport,750.0,NA,-87.81670379638672,41.40230178833008
207,small_airport,850.0,NA,-86.01249694824219,40.18000030517578
208,heliport,580.0,NA,-90.173401,38.904999
209,heliport,1160.0,NA,-95.26409912109375,39.86470031738281
210,small_airport,385.0,NA,-87.54139709472656,37.79169845581055
211,heliport,25.0,NA,-91.12789916992188,30.199600219726562
212,heliport,79.0,NA,-91.70800018310547,32.159000396728516
213,seaplane_base,165.0,NA,-69.8895034790039,44.320899963378906
214,small_airport,150.0,NA,-72.552001953125,42.39310073852539
215,heliport,302.0,NA,-76.32669830322266,39.522499084472656
216,small_airport,556.0,NA,-70.6272964477539,44.08420181274414
217,heliport,585.0,NA,-83.86219787597656,43.550899505615234
218,small_airport,1435.0,NA,-95.22470092773438,43.62519836425781
220,heliport,110.0,NA,-90.8832015991211,32.31880187988281
221,small_airport,3580.0,NA,-111.71748,47.267327
222,small_airport,874.0,NA,-94.41249847410002,38.4925003052
223,small_airport,4.0,OC,169.852005,11.222
224,small_airport,35.0,NA,-77.9041976928711,34.10430145263672
225,small_airport,1045.0,NA,-97.8290023803711,48.626399993896484
226,small_airport,2430.0,NA,-99.3311996459961,41.5463981628418
227,heliport,400.0,NA,-71.12439727783203,42.815399169921875
229,small_airport,6120.0,NA,-115.2979965209961,40.58440017700195
230,small_airport,95.0,NA,-72.716796875,40.95840072631836
231,small_airport,580.0,NA,-83.01740264892578,41.418399810791016
232,heliport,890.0,NA,-81.599552,41.420312
233,small_airport,890.0,NA,-96.1613998413086,36.04119873046875
234,small_airport,3340.0,NA,-117.48400115966797,45.85540008544922
235,heliport,197.0,NA,-75.4656982421875,40.162899017333984
236,heliport,479.0,NA,-76.180806,41.066861
237,small_airport,980.0,NA,-94.921703,39.065947
239,small_airport,704.0,NA,-122.22899627685547,45.401798248291016
240,heliport,73.0,NA,-78.66190338134766,33.8650016784668
242,small_airport,600.0,NA,-98.66950225830078,27.491100311279297
243,heliport,1000.0,NA,-83.57939910888672,35.92250061035156
244,heliport,1825.0,NA,-100.43800354003906,31.45989990234375
245,heliport,50.0,NA,-95.30719757080078,29.581600189208984
246,small_airport,5315.0,NA,-109.98600006103516,37.12080001831055
248,small_airport,2440.0,NA,-117.37200164794922,47.408199310302734
249,small_airport,880.0,NA,-88.883945,44.028873
250,small_airport,2320.0,NA,-120.66999816894531,45.875
251,small_airport,2100.0,NA,-100.75399780273438,31.318099975585938
252,small_airport,250.0,NA,-150.811387,60.535833
253,heliport,686.0,NA,-85.96720123,33.62639999
254,heliport,430.0,NA,-92.586047,34.574319
256,small_airport,3020.0,NA,-117.675003,34.5639
257,small_airport,2310.0,NA,-116.44100189208984,33.08169937133789
258,heliport,880.0,NA,-73.05239868164062,41.75510025024414
260,small_airport,9.0,NA,-80.51509857177734,25.558700561523438
261,heliport,37.0,NA,-82.336981,27.929372
262,small_airport,30.0,NA,-81.22200012207031,29.23940086364746
263,small_airport,920.0,NA,-83.18879699707031,39.91120147705078
264,small_airport,801.0,NA,-92.05460357666016,41.08829879760742
265,small_airport,2343.0,NA,-116.53700256347656,43.87770080566406
266,small_airport,765.0,NA,-84.99410247802734,41.13059997558594
267,small_airport,755.0,NA,-89.0070037842,40.6375007629
268,seaplane_base,954.0,NA,-85.113056,41.701389
269,small_airport,728.0,NA,-88.56900024414062,40.1786003112793
270,heliport,835.0,NA,-95.2197036743164,38.97890090942383
